year,sockeye,coho,pink,chum,area
1992,2666422.00,3696209.00,34963298.00,4936515.00,southeast
1993,3190960.00,3665435.00,57299350.00,7879868.00,southeast
1994,2392489.00,5721700.00,57274877.00,10403085.00,southeast
1995,1795331.00,3345678.00,47965506.00,11225693.00,southeast
1996,2799848.00,3156951.00,64629714.00,16043397.00,southeast
1997,2477394.00,1974427.00,28975224.00,11789139.00,southeast
1998,1375358.00,2989080.00,42535402.00,15695285.00,southeast
1999,1160730.00,3630234.00,77848284.00,14930932.00,southeast
2000,1229390.00,1957028.00,20313426.00,15910909.00,southeast
2001,2035230.00,3300932.00,67055991.00,8754416.00,southeast
2002,806447.00,3242516.00,45331007.00,7455007.00,southeast
2003,1525356.00,2498375.00,52515632.00,11115085.00,southeast
2004,2037745.00,3084663.00,45333012.00,11371623.00,southeast
2005,1607835.00,3002784.00,59182242.00,6427530.00,southeast
2006,1333496.00,2091875.00,11695411.00,13555280.00,southeast
2007,1904802.00,2062643.00,44884740.00,9417807.00,southeast
2008,436302.00,2381473.00,15974351.00,9053088.00,southeast
2009,925749.00,2635482.00,38101430.00,9660363.00,southeast
2010,720926.00,2587595.00,24303499.00,9475929.00,southeast
2011,1242445.00,2311332.00,59088287.00,10730140.00,southeast
2012,947219.00,2086721.00,21304390.00,12374853.00,southeast
2013,974665.00,3877145.00,94786940.00,12573032.00,southeast
2014,1669932.00,3791109.00,37194633.00,6679796.00,southeast
2015,1528774.00,2163943.00,35161426.00,11627334.00,southeast
2016,1505984.00,2332200.00,18395997.00,9117266.00,southeast
2017,801577.00,2884538.00,34826589.00,11430306.00,southeast
2018,636924.00,1603570.00,8096778.00,11484372.00,southeast
2019,1011740.00,1717764.00,21165714.00,9369771.00,southeast
2020,458000.00,1163000.00,8083000.00,4696000.00,southeast
2021,1117597.00,1505569.00,48212277.00,6988703.00,southeast
2022,1198899.00,1495547.00,18321958.00,10456795.00,southeast
2023,936908.00,1783688.00,47849148.00,15725616.00,southeast
2024,707531.00,906076.00,18247253.00,10323472.00,southeast
1900,854477.00,88175.00,50565.00,NA,prince.william.sound
1901,781438.00,313806.00,NA,NA,prince.william.sound
1902,800044.00,375408.00,NA,NA,prince.william.sound
1903,814345.00,398926.00,NA,NA,prince.william.sound
1904,734230.00,573967.00,NA,NA,prince.william.sound
1905,420000.00,NA,NA,NA,prince.william.sound
1906,380030.00,NA,NA,NA,prince.william.sound
1907,281249.00,252373.00,NA,NA,prince.william.sound
1908,18018.00,NA,NA,NA,prince.william.sound
1909,467100.00,NA,NA,NA,prince.william.sound
1910,290115.00,32560.00,196871.00,NA,prince.william.sound
1911,430689.00,53944.00,156349.00,NA,prince.william.sound
1912,544962.00,59801.00,401892.00,495.00,prince.william.sound
1913,518845.00,406.00,425574.00,70.00,prince.william.sound
