year,sockeye,coho,pink,chum,area
1960,362525.00,54308.00,6737817.00,1300386.00,kodiak
1961,407979.00,28579.00,3926023.00,518935.00,kodiak
1962,784664.00,54583.00,14113851.00,794727.00,kodiak
1963,407040.00,57011.00,5480158.00,305061.00,kodiak
1964,498488.00,35535.00,12044341.00,1134163.00,kodiak
1965,346237.00,26672.00,2886831.00,431340.00,kodiak
1966,631646.00,67700.00,10755582.00,762766.00,kodiak
1967,308756.00,10354.00,187813.00,226681.00,kodiak
1968,760393.00,56629.00,8768122.00,750428.00,kodiak
1969,591481.00,48759.00,12500823.00,534933.00,kodiak
1970,917045.00,66421.00,12035549.00,919102.00,kodiak
1971,478479.00,22844.00,4334492.00,1541444.00,kodiak
1972,222408.00,16587.00,2478064.00,1163426.00,kodiak
1973,167341.00,3573.00,511708.00,317921.00,kodiak
1974,418761.00,13631.00,2647196.00,249294.00,kodiak
1975,136418.00,23659.00,2942801.00,84431.00,kodiak
1976,641484.00,23714.00,11077992.00,740495.00,kodiak
1977,623468.00,27920.00,6252405.00,1072313.00,kodiak
1978,1071782.00,48795.00,15004065.00,814345.00,kodiak
1979,630756.00,140629.00,11285809.00,358336.00,kodiak
1980,651394.00,139154.00,17290615.00,1075557.00,kodiak
1981,1288949.00,121544.00,10336747.00,1345313.00,kodiak
1982,1203787.00,344823.00,8089780.00,1262587.00,kodiak
1983,1231989.00,157612.00,4603371.00,1085165.00,kodiak
1984,1950439.00,229524.00,10844293.00,649092.00,kodiak
1985,1842731.00,284166.00,7334825.00,430757.00,kodiak
1986,3188046.00,168690.00,11807727.00,1134372.00,kodiak
1987,1794224.00,192433.00,4920365.00,680994.00,kodiak
1988,2698349.00,303267.00,14262355.00,1426400.00,kodiak
1989,1289511.00,2599.00,6825124.00,19972.00,kodiak
1990,5247569.00,293819.00,5983812.00,577748.00,kodiak
1991,5702754.00,324860.00,16642836.00,1029057.00,kodiak
1992,4166762.00,280085.00,3310639.00,679540.00,kodiak
1993,4377523.00,313467.00,34019390.00,588328.00,kodiak
1994,2876878.00,296311.00,8162564.00,738851.00,kodiak
1995,4487568.00,307795.00,42849294.00,1522786.00,kodiak
1996,4968954.00,201836.00,3486930.00,543729.00,kodiak
1997,2503423.00,381005.00,11035023.00,520264.00,kodiak
1998,3623031.00,425143.00,22062465.00,316107.00,kodiak
1999,4650738.00,296979.00,11898307.00,913817.00,kodiak
2000,2905403.00,332998.00,9927374.00,1194414.00,kodiak
2001,2657601.00,407977.00,19567052.00,1053691.00,kodiak
2002,1824848.00,496073.00,18327818.00,650144.00,kodiak
2003,4041886.00,339457.00,14065615.00,1151757.00,kodiak
2004,4165880.00,489871.00,21440641.00,1121855.00,kodiak
2005,3047142.00,396030.00,30139434.00,477416.00,kodiak
2006,1583876.00,553524.00,31693347.00,1081989.00,kodiak
2007,2012564.00,356063.00,24809213.00,728912.00,kodiak
2008,1819143.00,300793.00,8788655.00,908035.00,kodiak
2009,1726971.00,288744.00,27648943.00,955808.00,kodiak
2010,1436606.00,266431.00,8864796.00,734806.00,kodiak
2011,2266651.00,188474.00,16642402.00,823202.00,kodiak
2012,2232441.00,208514.00,16873244.00,866381.00,kodiak
2013,2573757.00,268799.00,28192164.00,794054.00,kodiak
2014,3259037.00,472035.00,10674898.00,336572.00,kodiak
2015,3097344.00,396145.00,33024992.00,770539.00,kodiak
2016,2063566.00,206542.00,3280808.00,403881.00,kodiak
2017,2476502.00,366395.00,27103276.00,1891299.00,kodiak
2018,1820350.00,438065.00,5946894.00,463834.00,kodiak
2019,2176572.00,393812.00,32973151.00,547178.00,kodiak
2020,1524000.00,441000.00,21551000.00,368000.00,kodiak
2021,3290941.00,306329.00,26176895.00,409339.00,kodiak
2022,2365236.00,88293.00,15221647.00,550409.00,kodiak
2023,2558398.00,265918.00,24744333.00,827907.00,kodiak
2024,1416565.00,60173.00,7082015.00,489110.00,kodiak
1900,1047371.00,2053.00,52350.00,1200.00,chignik
1901,907350.00,6501.00,40484.00,NA,chignik
1902,1782015.00,NA,NA,NA,chignik
1903,1149990.00,8616.00,84097.00,NA,chignik
1904,1689642.00,NA,27785.00,NA,chignik
1905,1297114.00,NA,NA,NA,chignik
1906,1323584.00,NA,NA,NA,chignik
1907,1622987.00,800.00,NA,NA,chignik
1908,1630677.00,NA,NA,NA,chignik
1909,1730804.00,NA,NA,NA,chignik
1910,1314672.00,36907.00,17170.00,NA,chignik
1911,1077595.00,7788.00,23128.00,14788.00,chignik
1912,1330832.00,18979.00,55099.00,28232.00,chignik
1913,833220.00,23773.00,30080.00,91152.00,chignik
1914,1056629.00,34475.00,80080.00,32388.00,chignik
1915,1330031.00,29617.00,55665.00,65350.00,chignik
1916,1002911.00,45899.00,267148.00,88778.00,chignik
1917,1456676.00,13323.00,9583.00,124579.00,chignik
1918,1542707.00,21118.00,396125.00,343886.00,chignik
1919,884938.00,34931.00,4807.00,136754.00,chignik
1920,1772710.00,22493.00,297826.00,152206.00,chignik
1921,1828857.00,13251.00,30620.00,220721.00,chignik
1922,1248763.00,14952.00,359510.00,212789.00,chignik
1923,642872.00,18574.00,9235.00,87668.00,chignik
1924,877343.00,94433.00,1014992.00,110793.00,chignik
1925,712658.00,30049.00,42704.00,102121.00,chignik
1926,510718.00,31842.00,677026.00,265168.00,chignik
1927,456263.00,101422.00,186710.00,171467.00,chignik
1928,785740.00,65703.00,45863.00,122552.00,chignik
1929,1048984.00,36762.00,72733.00,185265.00,chignik
1930,20768.00,18809.00,67515.00,50437.00,chignik
1931,714979.00,39919.00,169561.00,45644.00,chignik
1932,1578124.00,25272.00,812337.00,50399.00,chignik
1933,595501.00,52745.00,325088.00,119823.00,chignik
1934,1108332.00,26995.00,536589.00,134036.00,chignik
1935,619330.00,18143.00,373112.00,190873.00,chignik
1936,980925.00,39763.00,596581.00,114497.00,chignik
1937,629318.00,19378.00,1205410.00,122928.00,chignik
1938,410989.00,23695.00,223314.00,71384.00,chignik
1939,1482079.00,8834.00,272956.00,78707.00,chignik
1940,250435.00,219.00,86845.00,24711.00,chignik
1941,653909.00,30867.00,326641.00,161890.00,chignik
1942,658503.00,11603.00,486106.00,150770.00,chignik
1943,1247818.00,20092.00,96346.00,51992.00,chignik
1944,401977.00,14238.00,568090.00,67311.00,chignik
1945,220953.00,7866.00,441879.00,135973.00,chignik
1946,869020.00,6621.00,906744.00,265470.00,chignik
1947,2084824.00,4610.00,472327.00,71829.00,chignik
1948,370329.00,937.00,1071556.00,368966.00,chignik
1949,542545.00,6009.00,91528.00,129139.00,chignik
1950,353192.00,14620.00,616696.00,92137.00,chignik
1951,259017.00,7464.00,19406.00,26499.00,chignik
1952,127068.00,9400.00,81502.00,151674.00,chignik
1953,295187.00,1370.00,136851.00,229764.00,chignik
1954,91566.00,195.00,348203.00,123733.00,chignik
1955,352556.00,167.00,822537.00,291016.00,chignik
1956,670140.00,5179.00,177304.00,266860.00,chignik
1957,304788.00,5334.00,305109.00,216190.00,chignik
1958,320131.00,403.00,130916.00,189077.00,chignik
1959,428022.00,4814.00,67042.00,187079.00,chignik
1960,710349.00,7665.00,198368.00,152191.00,chignik
1961,323459.00,3095.00,445256.00,183170.00,chignik
1962,364753.00,1293.00,1518366.00,364452.00,chignik
1963,408606.00,9933.00,1662363.00,112697.00,chignik
1964,557806.00,2230.00,1683410.00,333755.00,chignik
1965,630587.00,9163.00,1118157.00,120605.00,chignik
1966,222065.00,15019.00,683746.00,238913.00,chignik
1967,467874.00,9375.00,108981.00,75543.00,chignik
1968,878449.00,2200.00,1290660.00,223861.00,chignik
1969,310063.00,18130.00,1779569.00,67785.00,chignik
1970,1325811.00,15348.00,1287827.00,464607.00,chignik
1971,1016136.00,14557.00,612290.00,353952.00,chignik
1972,378669.00,19615.00,72240.00,78356.00,chignik
1973,870354.00,22322.00,25472.00,8717.00,chignik
1974,662905.00,12245.00,70017.00,34454.00,chignik
1975,399593.00,53283.00,66165.00,25161.00,chignik
1976,1163728.00,35167.00,395287.00,81403.00,chignik
1977,1972207.00,17430.00,604806.00,110452.00,chignik
1978,1576283.00,20212.00,985114.00,120889.00,chignik
1979,1049691.00,99129.00,1905198.00,188907.00,chignik
1980,859966.00,119573.00,1093184.00,252521.00,chignik
1981,1839469.00,78805.00,1162613.00,580332.00,chignik
1982,1522482.00,303341.00,873390.00,390096.00,chignik
1983,1824175.00,61927.00,321178.00,159412.00,chignik
1984,2660619.00,110128.00,444804.00,63303.00,chignik
1985,922151.00,191188.00,160128.00,22806.00,chignik
1986,1645834.00,116633.00,647125.00,176640.00,chignik
1987,1898838.00,150414.00,246775.00,127261.00,chignik
1988,795841.00,370410.00,2997159.00,267126.00,chignik
1989,1159287.00,68233.00,27712.00,1624.00,chignik
1990,2093650.00,130131.00,550008.00,270004.00,chignik
1991,1899294.00,165641.00,1169298.00,261422.00,chignik
1992,1277449.00,310943.00,1554073.00,222134.00,chignik
1993,1697351.00,229459.00,1648377.00,122360.00,chignik
1994,1617990.00,231291.00,431004.00,227077.00,chignik
1995,1724045.00,281518.00,2057998.00,380954.00,chignik
1996,1958393.00,193246.00,189068.00,120891.00,chignik
1997,770347.00,90908.00,844431.00,155905.00,chignik
1998,1054439.00,129539.00,776988.00,128996.00,chignik
1999,3116527.00,89610.00,1698651.00,140597.00,chignik
2000,1775225.00,123222.00,428064.00,120957.00,chignik
2001,1511587.00,131448.00,1281767.00,199003.00,chignik
2002,1050553.00,49372.00,66050.00,54559.00,chignik
2003,1100297.00,103896.00,502638.00,64044.00,chignik
2004,704652.00,37.00,2380.00,505.00,chignik
2005,1152133.00,6956.00,194045.00,8821.00,chignik
2006,902709.00,39221.00,383547.00,61630.00,chignik
2007,834547.00,73277.00,2019748.00,78553.00,chignik
2008,687270.00,161536.00,2389958.00,209325.00,chignik
2009,1198105.00,110373.00,1408339.00,256425.00,chignik
2010,1379785.00,159198.00,489781.00,581329.00,chignik
2011,2497004.00,76792.00,905166.00,269503.00,chignik
2012,1800121.00,33316.00,137706.00,171112.00,chignik
2013,2405151.00,32312.00,871597.00,154965.00,chignik
2014,620339.00,132459.00,352115.00,55152.00,chignik
2015,1552495.00,82054.00,1978211.00,101017.00,chignik
2016,1385673.00,94317.00,139622.00,118418.00,chignik
2017,897489.00,226829.00,7077924.00,609236.00,chignik
2018,128.00,1.00,6.00,924.00,chignik
2019,614000.00,219000.00,2236000.00,0.00,chignik
2020,0.00,0.00,0.00,0.00,chignik
2021,118785.00,84452.00,1312454.00,43187.00,chignik
2022,334704.00,40099.00,1043282.00,70886.00,chignik
2023,1068666.00,52119.00,2158377.00,108098.00,chignik
2024,277597.00,68616.00,918069.00,65496.00,chignik
