"R","m","logLik","K","AICc","dAICc"
"unconstrained",1,-195.33888050974,14,420.604366524068,0
"diagonal and equal",1,-210.361948811451,5,430.988214803519,10.3838482794515
"equalvarcov",1,-209.993296428836,6,432.358274273601,11.7539077495333
"diagonal and unequal",1,-209.99379911833,8,436.630455379517,16.0260888554492
