"names","mean","upCI","lowCI"
"chum",0.273022223512103,0.386433679230008,0.159610767794198
"coho",0.30691384864718,0.425943880034353,0.187883817260007
"pink",0.288692998487105,0.404192733595644,0.173193263378566
"sockeye",0.310467117796334,0.427875290142512,0.193058945450155
